variable_name,description,category
cps21_weight_general_all,Weight for all Campaign Period Survey (CPS) respondents.,Survey Weights
cps21_weight_general_restricted,Weight for high-quality CPS respondents (excluding those flagged for removal).,nan
pes21_weight_general_all,Weight for all Post-Election Survey (PES) respondents.,nan
pes21_weight_general_restricted,Weight for high-quality PES respondents.,nan
cps21_age,"Respondent age in years, calculated from cps21_yob (Year of Birth).",Derived/Calculated
cps21_time and pes21_time,"How long the respondent spent in the survey (CPS or PES, respectively), measured in minutes and calculated from Duration__in_seconds_.",nan
Region,"Sorts cps21_province into five defined regions: Atlantic, Ontario, Quebec, Territories, and West.",nan
cps21_data_quality_overall,"Categorical measure flagging the most important reason for removal (or ""Clean complete"") for CPS responses (e.g., Ineligible, Speeder, Duplicate).",Data Quality
pes21_data_quality_overall,"Categorical measure flagging data quality for PES responses (e.g., Valid complete, PES speeder, Inattentive).",nan
pes21_friendsnames_1_valid,"Validity flags (1 for ""Valid,"" 2 for ""Not valid"") based on respondent's text entry for names of people they talk about politics with.",nan
pes21_friendsnames_2_valid,"Validity flags (1 for ""Valid,"" 2 for ""Not valid"") based on respondent's text entry for names of people they talk about politics with.",nan
pes21_friendsnames_3_valid,"Validity flags (1 for ""Valid,"" 2 for ""Not valid"") based on respondent's text entry for names of people they talk about politics with.",nan
cps21_citizenship,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_yob,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_genderid,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_trans,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_province,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_education,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_employment,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_union,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_children,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
