Region,pes21_rural_urban,cps21_household,mean_engagement,mean_institutional_faith,mean_social_friction,N
Atlantic,1.0,1.0,0.30010762117346945,0.5575815494393477,0.3395833333333334,16
Atlantic,1.0,2.0,0.2664961428041002,0.561587901966946,0.3696950710108606,57
Atlantic,1.0,3.0,0.2720038107835727,0.5246912771224699,0.3108465608465609,15
Atlantic,1.0,4.0,0.2547584525263097,0.5088208236717412,0.308882783882784,13
Atlantic,1.0,5.0,0.35507369614512474,0.5723391764962867,0.2722222222222223,4
Atlantic,1.0,6.0,0.15000000000000002,0.42903014416775886,0.2571428571428572,1
Atlantic,2.0,1.0,0.28915220188604546,0.5428226438383713,0.341628873771731,21
Atlantic,2.0,2.0,0.2541736251557681,0.5847374487856141,0.3536357786357787,37
Atlantic,2.0,3.0,0.2693270502645503,0.6119375273044999,0.4315476190476192,10
Atlantic,2.0,4.0,0.2466360028860029,0.6225464011014471,0.3145021645021646,11
Atlantic,2.0,5.0,0.06914682539682541,0.44593375321586337,0.3809523809523811,3
Atlantic,3.0,1.0,0.21405550468050472,0.5328959012445252,0.29993894993895,13
Atlantic,3.0,2.0,0.2646971844293273,0.5877672807145286,0.3827513227513228,15
Atlantic,3.0,3.0,0.22771683673469392,0.5114758385515267,0.31809523809523815,15
Atlantic,3.0,4.0,0.262311507936508,0.6770802388233582,0.37642857142857145,5
Atlantic,3.0,5.0,0.2791666666666667,0.5309305373525558,0.20000000000000004,1
Atlantic,4.0,1.0,0.23535624776226283,0.5455315946594316,0.3250208855472014,19
Atlantic,4.0,2.0,0.23066769697296913,0.5430009032155168,0.3542233560090704,42
Atlantic,4.0,3.0,0.3052786977364046,0.5532860725973957,0.40083542188805354,19
Atlantic,4.0,4.0,0.23362082928409464,0.5481149493436519,0.28639455782312934,14
Atlantic,4.0,5.0,0.15000000000000005,0.5688073394495413,0.35000000000000014,1
Atlantic,4.0,6.0,0.11875000000000002,0.5524974515800205,0.17142857142857149,1
Atlantic,4.0,7.0,0.10238095238095239,0.5032110091743119,0.37142857142857155,1
Atlantic,5.0,1.0,0.24730421930677035,0.5247569249412304,0.3329790249433108,28
Atlantic,5.0,2.0,0.2230221048230167,0.5206452614880295,0.3121833839918947,47
Atlantic,5.0,3.0,0.23137912572436387,0.5012641983398866,0.3140432098765433,18
Atlantic,5.0,4.0,0.3032043650793651,0.556309887869521,0.2964285714285715,5
Atlantic,5.0,5.0,0.34065570672713535,0.4459589340323286,0.3416666666666668,3
